ID,제목,내용,카테고리,서브카테고리,캠퍼스,등록자,등록일,수정자,수정일
regulations_45,제44조(자격인증제),"【1항】 자격인증제는 본교에 설치된 특화된 교육과정을 이수한 자중 정해진 평가에 합격한 자에게 해당분야의 전문인의 자격이 있음을 인정하여 인증서를 수여할 수 있다.

【2항】 자격인증제의 운영에 필요한 사항은 세칙으로 정한다.",학칙,,,,,,
regulations_46,제9조(휴업일),"【1항】 정기휴업은 다음과 같다. 1. 국정공휴일, 2. 개교기념일, 3. 하계방학, 4. 동계방학

【2항】 비상재해, 그 밖의 불가피한 사정이 있을 때에는 임시휴업을 할 수 있으며, 방법 및 기간은 총장이 정한다.

【3항】 휴업일이라도 필요한 경우에는 실험실습 및 그 밖의 수업을 실시할 수 있다.",학칙,,,,,,
regulations_47,제33조(학사경고),"【1항】 각 대학의 매 학기말 학업성적의 평점평균이 1.5 미만(의예과의 의학과는 2.0 미만)인 자를 학사경고 한다.

【2항】 해당 학기에 등록하였지만 수강신청을 하지 않은 자를 학사경고 한다.",학칙,,,,,,
regulations_48,제45조(시험의종류),시험은 학기중간과 학기말에 실시하는 정기시험과 각 대학의 교수회 또는 과목 담당교수가 수시로 시기 및 방법을 정하는 수시시험으로 구분하여 실시한다.,학칙,,,,,,
regulations_49,제34조(유급),"【1항】 3회 이상 연속하여 학사경고를 받은 자는 제적대상이 되며, 학업계획서 심의 후 유급으로 승인여부를 결정한다. 다만, 의과대학 의학과(의예과 포함) 및 간호대학 간호학과는 해당 학과의 학사운영내규를 적용한다.

【2항】 유급은 재학연한을 초과하여 계속 시킬 수 없다.

【3항】 유급에 관한 기타 세부사항은 별도로 정한다.",학칙,,,,,,
regulations_50,제84조(학교기업),"【1항】 '산업교육진흥 및 산학협력촉진에 관한 법률' 제36조에 의한 학교기업을 설치할 수 있다.

【2항】 학교기업의 운영에 따른 세부사항은 학교기업의 설치·운영에 관한 규정(대통령령 제20740호)에 따르며, 이 영에 규정한 것 이외에는 을지대학교 학교기업설치·운영에 관하여 필요한 세부사항을 운영세칙으로 정할 수 있다.

【3항】 학교기업의 설치·운영계획을 수립한 경우에는 학교기업의 소재지, 사업종목 및 관련학과 또는 교육과정을 학칙에 기재한다.

【4항】 학교기업 설치·운영현황은 별표 3과 같다.",학칙,,,,,,
regulations_51,제89조(학생집단활동),"【1항】 집단활동(대학전체 행사, 학과행사, 학생회 활동, 동아리 활동 등)에 대하여 행사(활동)를 주관하는 학생과 담당교수를 책임자로 둔다.

【2항】 책임자는 집단활동 시에 인권침해 방지를 위해 노력하며 사고 발생에 대한 책임을 부여한다.

【3항】 집단활동 중 인권침해 사고 발생 시 집단활동에 대한 운영중지·폐쇄·재정지원 중단 등을 할 수 있다. 또한 인권침해 행위자 및 집단활동 책임자에 대하여 징계를 할 수 있으며, 이에 대한 세부사항은 총장이 따로 정한다.",학칙,,,,,,
regulations_52,제72조(회원자격및 권리의무),회원자격 및 권리의무에 관한 사항은 회칙에 별도로 정한다.,학칙,,,,,,
regulations_53,제37조의5(전공의이수),"【1항】 학생은 소속 학과(학부) 내에서 반드시 하나의 전공을 주전공(제1전공)으로 이수하여야 한다.

【2항】 학생은 제1항의 주전공(제1전공) 외에 학부간, 학제간, 캠퍼스간 전공을 추가로 이수할 수 있다.

【3항】 전공 이수에 관한 세부 사항은 다전공설치및운영에 관한 규정으로 정한다.",학칙,,,,,,
regulations_54,제74조(임무및 기능),"총학생회의 임무 및 기능은 다음과 같다. 1. 문화창달을 위한 각종 학술, 예술 및 체육활동, 2. 의료 및 기술봉사 등 각 분야의 봉사활동, 3. 그 밖의 학생 자치활동",학칙,,,,,,
regulations_55,제19조(등록),"【1항】 학생은 매 학기 초 정해진 기일 내에 등록하여야 한다.

【2항】 등록은 정해진 납입금을 내고 수강신청을 함으로써 완료된다.",학칙,,,,,,
regulations_56,제17조(편입학),"【1항】 해당학년의 정원에 결석이 발생한 경우나 그 밖의 법령에 따라 편입생을 모집할 수 있으며 편입학에 관한 세부사항은 따로 정한다.

【2항】 학사학위를 가진 자는 제3학년에 편입할 수 있다.

【3항】 학사학위 소지자의 편입학은 총 입학정원의 2%, 해당학과 입학정원의 4% 이내에 한하여 입학정원 외로 허가함을 원칙으로 한다.

【4항】 간호사, 임상병리사, 방사선사, 물리치료사 및 치과위생사를 양성하는 의료인력 양성학과와 유치원 교사 양성학과의 전문학사 학위를 소지한 자 중 해당 모집단위별 입학정원의 10%(야간운영학과는 30%)를 정원 외로 3학년 또는 4학년에 모집할 수 있다.",학칙,,,,,,
regulations_57,제73조(학생회비),총학생회 회원은 정해진 학생회비를 내야 한다.,학칙,,,,,,
regulations_58,제54조(등록금),"【1항】 학생은 매 학기 초 총장이 지정한 기일에 수업료 및 기타 정해진 등록금을 내야 한다.

【2항】 복학이 허가된 자는 그 학기의 등록금을 내야 한다. 다만, 등록을 마친 후 수업일수 4분의 2선까지 휴한 자는 휴학 전 납입한 등록금 대체로 복학할 수 있다.

【3항】 다음의 사유로 학적이 변동된 자는 해당 학기의 등록금액을 적용받는다. 1. 수업일수 4분의 2선까지 휴학하고 복학한 자, 2. 재입학한 자, 3. 유급한 자",학칙,,,,,,
regulations_59,제8조(수업일수),"【1항】 수업일수는 매 학년 30주(매 학기 15주) 이상으로 한다. 다만, 천재지변 또는 그 밖에 교육과정의 운영상 부득이한 사유로 수업일수를 충족하기 어려울 경우에는 2주 한도 내에서 감축할 수 있다.

【2항】 의과대학 의학과의 수업일수는 별도로 정한 바를 따른다.

【3항】 제1항에 따른 수업일수는 교육과정 운영상 필요에 따라 단축하여 운영할 수 있으며, 제27조에 따른 학점당 이수시간(학점당 15시간 이상)의 이수에 지장이 없어야 한다.

【4항】 제3항에 따라 수업일수를 단축하여 운영하는 경우 같은 학기 내에서 주말 등을 활용한 집중수업(이하 '집중이수제')을 개설하여 운영할 수 있으며 세부사항은 총장이 따로 정한다.",학칙,,,,,,
regulations_60,제39조(졸업시기),졸업은 전기졸업과 후기졸업으로 구분한다.,학칙,,,,,,
regulations_61,제12조(지원절차),"【1항】 본교에 입학을 희망하는 자는 정해진 입학원서와 전형료 및 다음 서류를 제출하여야 한다. 다만, 재입학 및 편입학에 필요한 서류는 별도로 정한다. 1. 학력증명서, 2. 성적증명서, 3. 그 밖의 필요한 서류

【2항】 제출한 서류 또는 전형료는 과오납을 제외하고는 반환하지 않는다.",학칙,,,,,,
