ID,제목,내용,카테고리,서브카테고리,캠퍼스,등록자,등록일,수정자,수정일
학칙_대학_168,제68조(교수회 심의사항),"교수회는 다음 각 호의 사항을 심의한다. 1. 교육 및 연구에 관한 사항, 2. 학사관리 및 운영에 관한 사항, 3. 학생의 지도 및 상벌에 관한 사항, 4. 총장 및 학장이 부의하는 사항, 5. 그 밖에 위 각 호에 부수되는 사항",학칙_대학 > 학칙 > 제18장 교수회와 교무위원회,,,,,,
학칙_대학_169,1항,"본교의 교육 및 운영에 관한 중요사항을 심의하기 위하여 교무위원회를 두며 다음 각 호의 사항을 심의한다. 1. 입학, 수료, 진급 및 졸업에 관한 사항, 2. 교육 및 연구에 관한 사항, 3. 교육과정의 설치, 변경 및 폐지에 관한 사항, 4. 시험, 공개강좌 등 주요 학사에 관한 사항, 5. 학생지도 및 상벌에 관한 사항, 6. 그 밖에 대학운영에 관한 사항",학칙_대학 > 학칙 > 제18장 교수회와 교무위원회 > 제69조(교무위원회),,,,,,
학칙_대학_170,2항,교무위원회 운영에 관한 규정은 별도로 정한다.,학칙_대학 > 학칙 > 제18장 교수회와 교무위원회 > 제69조(교무위원회),,,,,,
학칙_대학_171,1항,"교무위원회는 총장, 대학원장, 학장, 처장 및 총장이 지명하는 부속 및 부설기관의 장으로 구성한다.",학칙_대학 > 학칙 > 제18장 교수회와 교무위원회 > 제70조(교무위원회의 구성 및 소집),,,,,,
학칙_대학_172,2항,총장은 필요하다고 인정할 때에는 구성원 이외의 사람을 참석시킬 수 있다.,학칙_대학 > 학칙 > 제18장 교수회와 교무위원회 > 제70조(교무위원회의 구성 및 소집),,,,,,
학칙_대학_173,3항,교무위원회는 총장이 이를 소집하며 그 의장이 된다.,학칙_대학 > 학칙 > 제18장 교수회와 교무위원회 > 제70조(교무위원회의 구성 및 소집),,,,,,
학칙_대학_174,1항,"건전한 학풍을 조성하고 지도력과 자치능력을 배양하여 대학설립정신과 교육이념에 입각한 학생자치활동을 실현하기 위하여 총학생회를 두며, 본회의 조직과 운영에 관한 사항은 이를 회칙으로 따로 정한다.",학칙_대학 > 학칙 > 제19장 학생활동 > 제71조(총학생회 설치 및 운영),,,,,,
학칙_대학_175,2항,학생활동을 지도하기 위하여 지도교수를 둘 수 있다.,학칙_대학 > 학칙 > 제19장 학생활동 > 제71조(총학생회 설치 및 운영),,,,,,
학칙_대학_176,제72조(회원자격 및 권리의무),회원자격 및 권리의무에 관한 사항은 회칙에 별도로 정한다.,학칙_대학 > 학칙 > 제19장 학생활동,,,,,,
학칙_대학_177,제73조(학생회비),총학생회 회원은 정해진 학생회비를 내야 한다.,학칙_대학 > 학칙 > 제19장 학생활동,,,,,,
학칙_대학_178,제74조(임무 및 기능),"총학생회의 임무 및 기능은 다음과 같다. 1. 문화창달을 위한 각종 학술, 예술 및 체육활동, 2. 의료 및 기술봉사 등 각 분야의 봉사활동, 3. 그 밖의 학생 자치활동",학칙_대학 > 학칙 > 제19장 학생활동,,,,,,
학칙_대학_179,1항,"학생은 다음의 사항에 대하여 주무부서에 사전 신고하고 총장의 승인을 받아야 한다. 1. 교내외 10명 이상의 집회, 2. 교내광고, 인쇄물의 부착 또는 배부, 3. 각 기관 또는 개인에 대한 학생활동 후원요청 및 시상의뢰, 4. 외부인사의 학내초청",학칙_대학 > 학칙 > 제19장 학생활동 > 제75조(활동 및 간행물),,,,,,
학칙_대학_180,2항,"학생단체 또는 학생의 모든 정기, 부정기 간행물을 지도교수의 추천과 총장의 승인을 받아 발행하며 간행물의 편집을 위하여 약간 명의 지도교수를 둘 수 있다.",학칙_대학 > 학칙 > 제19장 학생활동 > 제75조(활동 및 간행물),,,,,,
학칙_대학_181,제76조(금지활동),본교의 정상적인 기능을 방해하거나 교육목적 및 면학분위기를 저해하는 개인 또는 집단적 행위를 할 수 없다.,학칙_대학 > 학칙 > 제19장 학생활동,,,,,,
학칙_대학_182,제77조(대학원),대학원학칙과 대학원학칙시행세칙 및 대학원운영에 관한 규정은 따로 정한다.,학칙_대학 > 학칙 > 제20장 대학원,,,,,,
학칙_대학_183,1항,"본교에 학술정보원, 비교과통합교육원, 학보사, 생활관, 예비군대대, 보건실, 부속병원 등의 부속기관을 둔다.",학칙_대학 > 학칙 > 제21장 부속기관 및 부설기관 > 제78조(부속기관),,,,,,
학칙_대학_184,2항,"학술정보원 산하에는 학술정보팀, 전산정보팀, 범석의학박물관을 둔다.",학칙_대학 > 학칙 > 제21장 부속기관 및 부설기관 > 제78조(부속기관),,,,,,
학칙_대학_185,3항,전항의 각 부속기관의 운영에 필요한 규정은 별도로 정한다.,학칙_대학 > 학칙 > 제21장 부속기관 및 부설기관 > 제78조(부속기관),,,,,,
